pid,year_t0,year_t1,telco_t0,telco_t1,churn_any,churn_to_mvno,a03002_tminus1,a03024_tminus1,a03026_tminus1,c01002_tminus1,c01004_tminus1,c02003_tminus1,c02001_tminus1,age1_tminus1,income1_tminus1,job1_tminus1
100170001,2021,2022,3.0,1.0,1,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,51,8,1
100170001,2022,2023,1.0,1.0,0,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,52,9,1
100170001,2023,2024,1.0,1.0,0,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,53,9,1
100170001,2024,2025,1.0,2.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,54,9,1
100170002,2020,2021,3.0,3.0,0,0,3.0,1.0,0.0,5.0,5.0,1.0,1.0,48,7,1
100170002,2021,2022,3.0,1.0,1,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,49,7,1
100170002,2022,2023,1.0,1.0,0,0,4.0,1.0,0.0,7.0,2.0,0.0,1.0,50,6,1
100170002,2023,2024,1.0,1.0,0,0,4.0,1.0,1.0,6.0,2.0,1.0,1.0,51,8,1
100170002,2024,2025,1.0,2.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,52,8,1
100170003,2020,2021,3.0,2.0,1,0,3.0,1.0,0.0,4.0,5.0,1.0,4.0,16,1,0
100180001,2020,2021,1.0,3.0,1,0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,62,9,1
100180001,2021,2022,3.0,2.0,1,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,63,8,1
100180001,2022,2023,2.0,2.0,0,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,64,8,1
100180001,2023,2024,2.0,2.0,0,0,4.0,1.0,1.0,8.0,2.0,1.0,1.0,65,8,1
100180001,2024,2025,2.0,1.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,66,9,1
100180002,2020,2021,1.0,3.0,1,0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,56,9,0
100180002,2021,2022,3.0,1.0,1,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,57,6,1
100180002,2022,2023,1.0,2.0,1,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,58,6,1
100180002,2023,2024,2.0,2.0,0,0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,59,7,1
100180002,2024,2025,2.0,1.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,4.0,60,1,0
100190001,2020,2021,2.0,1.0,1,0,2.0,1.0,0.0,4.0,3.0,1.0,1.0,48,9,1
100190001,2021,2022,1.0,1.0,0,0,3.0,1.0,0.0,6.0,2.0,0.0,1.0,49,10,1
100190001,2022,2023,1.0,3.0,1,0,3.0,1.0,0.0,4.0,3.0,1.0,1.0,50,10,1
100190001,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,51,10,1
100190001,2024,2025,3.0,1.0,1,0,4.0,1.0,0.0,5.0,2.0,1.0,1.0,52,11,1
100190002,2020,2021,2.0,3.0,1,0,2.0,1.0,0.0,4.0,3.0,1.0,1.0,45,5,1
100190002,2021,2022,3.0,1.0,1,0,3.0,1.0,0.0,6.0,3.0,0.0,1.0,46,7,1
100190002,2022,2023,1.0,3.0,1,0,3.0,1.0,0.0,6.0,1.0,1.0,4.0,47,7,1
100190002,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,48,7,1
100190002,2024,2025,3.0,1.0,1,0,4.0,1.0,0.0,5.0,2.0,1.0,1.0,49,7,1
100190003,2020,2021,2.0,3.0,1,0,2.0,1.0,0.0,4.0,4.0,1.0,4.0,15,1,0
100190003,2021,2022,3.0,1.0,1,0,3.0,0.0,0.0,3.0,1.0,0.0,4.0,16,1,0
100190003,2022,2023,1.0,3.0,1,0,4.0,1.0,0.0,5.0,4.0,1.0,4.0,17,1,0
100190003,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,4.0,2.0,1.0,4.0,18,1,0
100190003,2024,2025,3.0,1.0,1,0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,19,1,0
100200001,2020,2021,2.0,1.0,1,0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,40,9,1
100200001,2021,2022,1.0,1.0,0,0,4.0,1.0,0.0,5.0,2.0,1.0,1.0,41,8,1
100200001,2022,2023,1.0,3.0,1,0,4.0,0.0,0.0,6.0,4.0,1.0,1.0,42,9,1
100200001,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,43,8,1
100200001,2024,2025,3.0,3.0,0,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,44,9,1
100200002,2020,2021,2.0,1.0,1,0,3.0,1.0,0.0,4.0,4.0,1.0,4.0,38,1,0
100200002,2021,2022,1.0,1.0,0,0,4.0,1.0,0.0,5.0,2.0,1.0,1.0,39,6,1
100200002,2022,2023,1.0,3.0,1,0,4.0,0.0,0.0,7.0,4.0,1.0,1.0,40,7,1
100200002,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,41,6,1
